element,id,note,operator,railway,source,layer,level,name,ref,description,fixme,video,image,note:maxspeed,railway:preserved,old_name,usage,wikidata,maxheight,wikipedia,name:ja,railway:pzb,detail,electrified,frequency,gauge,maxspeed,passenger_lines,voltage,workrules,railway:etcs,railway:lzb,railway:ballastless,railway:tilting,railway:traffic_mode,service,railway:track_ref,source:maxspeed,tunnel,bridge,railway:radio,highspeed,railway:preferred_direction,bridge:structure,railway:zbs,embankment,maxspeed:backward,maxspeed:forward,railway:ballastless:system,start_date,operator:wikidata,name:en,tracks,railway:gnt,railway:bidirectional,construction:railway:etcs,bridge:name,historic,surface,heritage,heritage:operator,lda:criteria,ref:lda,source:maxspeed:backward,source:maxspeed:forward,cutting,website,maxspeed:source,name:de,wikimedia_commons,covered,designation,abandoned:railway,disused:railway,disused:usage,railway:electricity:ref,bridge:length,railway:main_switch_off,railway:lower_pantograph_section,geometry
way,4440336,,DB Netz AG,rail,,-2,-2,,6171,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,100,,15000,DE:EBO,,no,,,passenger,,5,"Zs 3 ""10"" am deckenden Einfahrsignal (?) aus Richtung Südkreuz + sicherungstechnischer Übersichtsplan ""BLEH__.10/01"", veröffentlicht im Rahmen des Vergabeverfahrens 24FEI76824 der Deutschen Bahn",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.3705331 52.523532, 13.369613 52.5248455, 13.3687959 52.5260111, 13.3685867 52.5263109, 13.3680262 52.5271134)"
way,4440358,,DB Netz AG,rail,,-2,,,6134,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,120,,15000,DE:EBO,,no,,,passenger,,,"Geschwindigkeitssignal (lf7 ""12"" in nördlicher Richtung) nahe des südlichen Bahnsteigbeginns am Gleis 8 des Bahnhofs Südkreuz sowie weitere Signalbeobachtung",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.3729256 52.4982831, 13.3728931 52.4985706, 13.3728244 52.4991783, 13.3728119 52.4997602, 13.372826 52.5000387, 13.3728574 52.5003167, 13.3729176 52.5006499, 13.3730042 52.5009829, 13.373085 52.5012517, 13.3733381 52.5018823, 13.3737228 52.5027673, 13.3739812 52.503355, 13.3742673 52.5039388, 13.3749839 52.5051809, 13.3753454 52.5057999, 13.375667 52.5064337, 13.3758945 52.5070748, 13.3759741 52.507397, 13.3760358 52.5077195, 13.376054 52.5078439)"
way,4440364,,DB Netz AG,rail,,3,,,6171,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,90,2,15000,DE:EBO,,no,,,passenger,,,"Lf7 ""9"" in nordwestlicher Richtung im Nordkopf des Berliner Hauptbahnhofs sowie in Gegenrichtung bei km 0,1",,yes,gsm-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.3604076 52.5346055, 13.359929 52.5350495, 13.3596786 52.5353373, 13.3594871 52.5356138, 13.359369 52.5358055, 13.3592894 52.5359602, 13.359197 52.536177, 13.3591393 52.5363538, 13.3591013 52.5365105, 13.3590742 52.5366538, 13.3590613 52.536749, 13.3590512 52.536892, 13.3590543 52.5371949, 13.3590789 52.537404, 13.3591168 52.5375986, 13.3591736 52.5377515, 13.3592283 52.5378987, 13.3593709 52.5381906, 13.3595125 52.538421, 13.3596571 52.5386044, 13.3598544 52.5388317, 13.3599485 52.5389233, 13.3600716 52.5390365, 13.3602378 52.5391795, 13.360468 52.5393623, 13.3607109 52.5395326, 13.3608878 52.5396425, 13.3610748 52.5397488, 13.3610852 52.5397546)"
way,4444472,,DB Netz AG,rail,,,,Schnellfahrstrecke Oebisfelde–Spandau,6185,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,140,2,15000,DE:EBO,no,yes,,,,,,"Laut Anlage 13.2.1, Anhang 2, zur Leistungs- und Finanzierungsvereinbarung von 2008 ist die Strecke 6185 zwischen den Streckenkilometern 110,3 und 116,1 mit 140 km/h befahrbar",,,,yes,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.1766835 52.5377959, 13.1766182 52.5378071, 13.1764281 52.5378378, 13.1753683 52.5380043, 13.1736454 52.5382774, 13.17139 52.5386348, 13.1711467 52.538674, 13.1701792 52.5387994, 13.1696683 52.5388552, 13.1690847 52.538903, 13.1681296 52.5389595, 13.1675475 52.5389704, 13.1668531 52.5389635, 13.1663435 52.5389495, 13.1656376 52.5389125, 13.1649895 52.5388616, 13.1644308 52.5387989, 13.1639673 52.5387326, 13.1634698 52.5386606, 13.1631111 52.5385937, 13.1626673 52.5385032, 13.1620997 52.5383726, 13.1614574 52.5382146, 13.1595672 52.5377226, 13.1593989 52.5376798, 13.1590502 52.5375906, 13.1587327 52.5375149, 13.1583448 52.5374281, 13.1576997 52.5373033, 13.1569858 52.5371846)"
way,4448448,,DB Netz AG,rail,,,,,6118,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,130,2,15000,DE:EBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.1428544 52.398988, 13.1422645 52.3985441, 13.1416319 52.3981115, 13.1412017 52.397824, 13.1411601 52.3977967, 13.1410643 52.397734)"
way,4469435,,DB Netz AG,rail,,,,,6118,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,90,2,15000,DE:EBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.1924814 52.4290905, 13.1924283 52.4289223, 13.192407 52.4288561, 13.1923391 52.4286658, 13.1922645 52.428472, 13.192177 52.4282725, 13.1920639 52.4280558, 13.1919444 52.4278529, 13.1918434 52.4277028, 13.1917388 52.4275605, 13.1916638 52.4274617, 13.1915886 52.427373, 13.1914256 52.4271902)"
way,4469631,,DB Netz AG,rail,,,,,6118,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,130,2,15000,DE:EBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.1410643 52.397734, 13.1403869 52.3973087, 13.1395468 52.3968106)"
way,4474687,,DB Netz AG,rail,,,,,6118,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,120,2,15000,DE:EBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.1879321 52.4250831, 13.1874222 52.424842, 13.1872727 52.4247778, 13.1871832 52.4247413, 13.1869981 52.424663, 13.186797 52.4245793, 13.1863172 52.4243833, 13.1858375 52.4241849, 13.1855068 52.4240462, 13.1851723 52.4239016, 13.1848038 52.4237344, 13.1844431 52.4235653, 13.1841382 52.4234189, 13.1838455 52.4232711)"
way,4474688,,DB Netz AG,rail,,1,,,6118,,,,,,,,main,,,,,yes,,contact_line,16.7,1435,120,2,15000,DE:EBO,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.1881446 52.4251645, 13.1879321 52.4250831)"
way,4475792,,DB Netz AG,rail,,,,,6134,,,,,,,,main,,,,,yes,track,contact_line,16.7,1435,120,,15000,DE:EBO,,no,,,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (13.3724946 52.4982648, 13.3725255 52.4980869, 13.3726402 52.4974514, 13.3726784 52.4972384, 13.3726931 52.4971105, 13.3727471 52.4966403, 13.3727695 52.4960951, 13.3727435 52.4953362, 13.3725766 52.4925351)"
