element,id,contact:website,light_rail,name,network,network:short,official_name,operator,public_transport,railway,railway:ref,railway:station_category,station,uic_ref,wheelchair,wikidata,wikipedia,geometry
node,5162689571,Unknown,,Spichernstraße,,,,,station,station,,,subway,,yes,Q667046,de:U-Bahnhof Spichernstraße,POINT (13.3310091 52.4964453)
node,5162689572,Unknown,,Fehrbelliner Platz,,,,,station,station,,,subway,,yes,Q663245,de:U-Bahnhof Fehrbelliner Platz,POINT (13.3151361 52.4905442)
node,5171026793,Unknown,,Hermannplatz,,,,,station,station,,,subway,,yes,Q658929,de:U-Bahnhof Hermannplatz,POINT (13.4245531 52.4862857)
node,5171026794,Unknown,,Rathaus Neukölln,,,,,station,station,,,subway,,yes,Q628770,de:U-Bahnhof Rathaus Neukölln,POINT (13.4341793 52.4816522)
node,5171026799,Unknown,,Parchimer Allee,,,,,station,station,,,subway,,yes,Q571855,de:U-Bahnhof Parchimer Allee,POINT (13.4495999 52.4447743)
node,5176114547,Unknown,,Jakob-Kaiser-Platz,,,,,station,station,,,subway,,no,Q638526,de:U-Bahnhof Jakob-Kaiser-Platz,POINT (13.2933009 52.5362794)
node,5176114617,Unknown,,Wilmersdorfer Straße,,,,,station,station,,,subway,,yes,Q570961,de:U-Bahnhof Wilmersdorfer Straße,POINT (13.3066372 52.5066749)
node,5183374155,Unknown,,Zitadelle,,,,,station,station,,,subway,,yes,Q663212,de:U-Bahnhof Zitadelle,POINT (13.2175358 52.537652)
node,5183375788,Unknown,,Paulsternstraße,,,,,station,station,,,subway,,no,Q570943,de:U-Bahnhof Paulsternstraße,POINT (13.2478176 52.5379819)
node,5183375797,Unknown,,Halemweg,,,,,station,station,,,subway,,no,Q571025,de:U-Bahnhof Halemweg,POINT (13.2861036 52.5366262)
node,5198810677,Unknown,,Reinickendorfer Straße,,,,,station,station,,,subway,,yes,Q559249,de:U-Bahnhof Reinickendorfer Straße,POINT (13.3702888 52.5400429)
node,5219721336,Unknown,,Schönhauser Allee,,,,,station,station,,,subway,,yes,,,POINT (13.4137114 52.5494885)
node,5219721338,Unknown,,Karl-Bonhoeffer-Nervenklinik,,,,,station,station,,,subway,,yes,Q475553,de:Bahnhof Berlin Karl-Bonhoeffer-Nervenklinik,POINT (13.3335031 52.5786231)
node,5219721339,Unknown,,Wittenau,,,,,station,station,,,subway,,yes,Q175212,de:Bahnhof Berlin-Wittenau (Wilhelmsruher Damm),POINT (13.3347115 52.5956412)
node,5219756617,Unknown,,Rosa-Luxemburg-Platz,,,,,station,station,,,subway,,yes,Q658790,de:U-Bahnhof Rosa-Luxemburg-Platz,POINT (13.4104868 52.5276951)
node,5219756618,Unknown,,Mierendorffplatz,,,,,station,station,,,subway,,no,Q571393,de:U-Bahnhof Mierendorffplatz,POINT (13.3047721 52.5263437)
node,5220107618,Unknown,,Pankow,,,,,station,station,,,subway,,yes,,,POINT (13.4117203 52.56678)
node,5220114129,Unknown,,Haselhorst,Verkehrsverbund Berlin-Brandenburg,VBB,,Berliner Verkehrsbetriebe,station,station,,,subway,,yes,Q570916,de:U-Bahnhof Haselhorst,POINT (13.2330942 52.5387183)
node,5250030091,Unknown,,Stadtmitte,,,,,station,station,,,subway,,yes,,,POINT (13.3898514 52.5106178)
node,5250030092,Unknown,,Hallesches Tor,,,,,station,station,,,subway,,yes,,de:U-Bahnhof Hallesches Tor,POINT (13.3917126 52.4990257)
node,5250030093,Unknown,,Möckernbrücke,,,,,station,station,,,subway,,no,Q704716,,POINT (13.3828981 52.4991179)
node,5284961126,Unknown,yes,Ostkreuz (Ringbahn),Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Ostkreuz (Ringbahn-S),DB InfraGO AG,station,station,BOK,3.0,light_rail,8089028.0,yes,Q660045,de:Bahnhof Berlin Ostkreuz,POINT (13.4691195 52.5029812)
node,5315601264,Unknown,,Berlin-Mahlsdorf,,,,DB Netz AG,station,station,BMHL,,,,yes,Q800484,de:Bahnhof Berlin-Mahlsdorf,POINT (13.6107967 52.5118952)
node,5320311289,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/friedrichstrasse/59,yes,S Friedrichstraße,Verkehrsverbund Berlin-Brandenburg,VBB,,DB Netz AG,station,station,BFSTT,2.0,light_rail,8011306.0,yes,Q702402,de:Bahnhof Berlin Friedrichstraße,POINT (13.3866879 52.520768)
node,5324318370,Unknown,,Bundesplatz,,,,Berliner Verkehrsbetriebe,station,station,,,subway,,yes,Q464094,de:Bahnhof Berlin Bundesplatz,POINT (13.3285001 52.4776476)
node,5330823481,Unknown,,Rohrdamm,,,,,station,station,,,subway,,no,Q570911,de:U-Bahnhof Rohrdamm,POINT (13.262306 52.5369951)
node,5679382211,Unknown,,Tempelhof,,,,,station,station,,,subway,,yes,Q571405,de:Bahnhof Berlin-Tempelhof,POINT (13.385629 52.469568)
node,5713678268,Unknown,,Olympia-Stadion,,,,,station,station,,,subway,,yes,Q656441,de:U-Bahnhof Olympia-Stadion,POINT (13.2504479 52.5168643)
node,5713678269,Unknown,,Heinrich-Heine-Straße,,,,,station,station,,,subway,,no,Q663204,de:U-Bahnhof Heinrich-Heine-Straße,POINT (13.4160272 52.5104484)
node,5713678270,Unknown,,Eberswalder Straße,,,,,station,station,,,subway,,yes,Q571382,de:U-Bahnhof Eberswalder Straße,POINT (13.4121769 52.5415154)
node,5713944071,Unknown,,Bernauer Straße,,,,,station,station,,,subway,,yes,Q689293,de:U-Bahnhof Bernauer Straße,POINT (13.3966175 52.5374381)
node,5718454109,Unknown,,Alt-Tegel,,,,,station,station,,,subway,,yes,Q656090,de:U-Bahnhof Alt-Tegel,POINT (13.2837514 52.5894565)
node,5726082246,Unknown,,Altstadt Spandau,,,,,station,station,,,subway,,no,Q571402,de:U-Bahnhof Altstadt Spandau,POINT (13.2062573 52.5388381)
node,6555763842,Unknown,,Wutzkyallee,,,,,station,station,,,subway,,yes,Q571841,de:U-Bahnhof Wutzkyallee,POINT (13.4745668 52.4233264)
node,7103322725,http://www.s-bahn-berlin.de/fahrplanundnetz/bahnhof/suedkreuz/119,yes,Südkreuz (Nord-Süd),Verkehrsverbund Berlin-Brandenburg,VBB,Berlin Südkreuz (Vorortbahn),DB Netz AG;DB Station&Service AG,station,station,BSKV,1.0,light_rail,,yes,,,POINT (13.3651375 52.476214)
node,7590477149,Unknown,,Betriebswerk,,,,Berliner Parkeisenbahn,station,station,,,miniature,,no,,,POINT (13.5382582 52.4647137)
node,7590477180,Unknown,,Badesee,,,,Berliner Parkeisenbahn,station,station,,,miniature,,Unknown,,,POINT (13.5483594 52.4664295)
node,7590482488,Unknown,,Hauptbahnhof,,,,Berliner Parkeisenbahn,station,station,,,miniature,,yes,,,POINT (13.5433115 52.4579993)
node,8170768521,Unknown,,Unter den Linden,,,,,station,station,,,subway,,yes,,,POINT (13.38882 52.5169884)
node,8170768522,Unknown,,Rotes Rathaus,,,,,station,station,,,subway,,yes,,,POINT (13.4080828 52.5188425)
node,9082329700,Unknown,,Museumsinsel,,,,,station,station,,,subway,,yes,Q1459924,en:Museumsinsel (Berlin U-Bahn),POINT (13.3988844 52.5172626)
node,11891045337,Unknown,,Wuhlheide Parkeisenbahn,,,,Berliner Parkeisenbahn,station,station,,,miniature,,yes,,,POINT (13.5538717 52.4684445)
