element,id,operator,railway,railway:local_operated,railway:switch,railway:switch:electric,railway:switch:heated,railway:switch:movable_frog,railway:switch:resetting,railway:turnout_side,ref,source,railway:switch:configuration,description,video,railway:maxspeed:diverging,railway:maxspeed:straight,railway:switch_ref,image,source:ref,fixme,railway:radius,railway:electricity,control,railway:local_operated:home_position,usage,railway:electricity:jumpering,disused,note,level,layer,crossing,tactile_paving,wheelchair,source:description,razed:railway,name,abandoned,railway:track_ref,geometry
node,27556926,DB InfraGO AG,switch,no,inner_curved,yes,yes,no,no,left,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3304807 52.5055174)
node,27586332,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2290655 52.5286804)
node,27586831,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2261837 52.5109173)
node,28096409,DB InfraGO AG,switch,,double_slip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.380892 52.471507)
node,28096515,DB InfraGO AG,switch,no,outer_curved,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3645679 52.4765637)
node,28096694,DB InfraGO AG,switch,no,double_slip,yes,yes,no,no,,3,Bing,inside,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3740149 52.4712555)
node,28830255,DB InfraGO AG,switch,no,default,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4976465 52.6399309)
node,28830286,DB InfraGO AG,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4642053 52.6104218)
node,29030454,,switch,yes,default,no,no,no,no,left,,,,ortsgestellte Weiche,https://youtu.be/bS33qGO_ahY?t=364,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2639396 52.5066034)
node,29057788,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3511561 52.5525346)
node,29123859,,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.2427283 52.5315997)
node,29272964,,switch,yes,default,no,no,no,no,right,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.265075 52.5054859)
node,29494287,,switch,,double_slip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4176486 52.5135608)
node,29554346,,switch,,,,,,,,415,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.4363898 52.5657153)
node,29707226,DB InfraGO AG,switch,no,outer_curved,yes,yes,no,no,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (13.3414443 52.5357429)
