element,id,operator,railway,railway:signal:combined,railway:signal:direction,railway:signal:position,ref,description,note,geometry
node,4066797717,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.5352219 52.535308)
node,4066797723,DB InfraGO AG,signal,DE-ESO:ks,forward,right,1015,Unknown,Unknown,POINT (13.5359621 52.5365728)
node,4070072900,,signal,,forward,in_track,,Unknown,Unknown,POINT (13.510926 52.6348949)
node,4071580231,DB InfraGO AG,signal,DE-ESO:ks,forward,left,72 2610,Unknown,Unknown,POINT (13.2749651 52.4366508)
node,4071688718,,signal,DE-ESO:ks,forward,left,72 2631,Unknown,Unknown,POINT (13.2568809 52.430696)
node,4071688746,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.2595606 52.4313744)
node,4075471531,DB InfraGO AG,signal,DE-ESO:ks,forward,right,686,Unknown,Unknown,POINT (13.4611998 52.46924)
node,4075589297,DB Netz AG,signal,DE-ESO:ks,forward,right,1634,Unknown,Unknown,POINT (13.4611241 52.4866287)
node,4075589315,DB Netz AG,signal,DE-ESO:ks,forward,right,1626,Unknown,Unknown,POINT (13.4609759 52.4928829)
node,4076041056,,signal,,backward,right,,Unknown,Unknown,POINT (13.4646757 52.4692506)
node,4076712672,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.1936655 52.4312541)
node,4076712676,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.1935116 52.4313037)
node,4076712679,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.193622 52.431418)
node,4076720506,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.1945535 52.4322509)
node,4076720523,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.1952617 52.4327687)
node,4078688593,DB Netz AG,signal,DE-ESO:ks,forward,right,489,Unknown,Unknown,POINT (13.3821169 52.5472024)
node,4083531684,,signal,,forward,right,4225,Unknown,Unknown,POINT (13.2894276 52.5888083)
node,4083591553,,signal,,forward,right,,Unknown,Unknown,POINT (13.2900698 52.587466)
node,4083591554,,signal,,backward,right,,Unknown,Unknown,POINT (13.290296 52.5875128)
node,4083591555,,signal,,forward,right,,Unknown,Unknown,POINT (13.289865 52.5877716)
node,4083591556,,signal,,backward,right,,Unknown,Unknown,POINT (13.290087 52.5878306)
node,4083591557,,signal,,backward,right,,Unknown,Unknown,POINT (13.2894602 52.5883856)
node,4083591558,,signal,,forward,right,,Unknown,Unknown,POINT (13.2896812 52.5884312)
node,4083602103,,signal,,forward,right,,Unknown,Unknown,POINT (13.3098831 52.5774767)
node,4083602104,,signal,,forward,right,,Unknown,Unknown,POINT (13.3163293 52.5776634)
node,4083602105,,signal,,forward,right,,Unknown,Unknown,POINT (13.3283253 52.5780204)
node,4083602107,,signal,DE-ESO:ks,backward,left,,Unknown,Unknown,POINT (13.3428757 52.5782986)
node,4089721241,,signal,DE-ESO:ks,forward,left,194,Ks-Mehrabschnittssignal in nordöstlicher Richtung,Unknown,POINT (13.3933512 52.5257194)
node,4089721242,,signal,DE-ESO:ks,backward,left,192,Ks-Mehrabschnittssignal in nordöstlicher Richtung,Unknown,POINT (13.3932257 52.5257439)
node,4089721246,DB Netz AG,signal,DE-ESO:ks,forward,left,179,Ks-Mehrabschnittssignal in südöstlicher Richtung,steht am Bahnsteigende am Bahnsteig,POINT (13.3880226 52.5319772)
node,4089721247,DB Netz AG,signal,DE-ESO:ks,backward,left,181,Ks-Mehrabschnittssignal in südöstlicher Richtung,steht am Bahnsteigende am Bahnsteig,POINT (13.3881383 52.5320471)
node,4089721248,DB Netz AG,signal,DE-ESO:ks,backward,left,183,Ks-Mehrabschnittssignal in südöstlicher Richtung,steht am Bahnsteigende am Bahnsteig,POINT (13.3881844 52.532069)
node,4089724093,DB Netz AG,signal,DE-ESO:ks,backward,left,185,Ks-Mehrabschnittssignal in südöstlicher Richtung,steht am Bahnsteigende am Bahnsteig,POINT (13.3882906 52.532133)
node,4089724094,DB Netz AG,signal,DE-ESO:ks,backward,bridge,51D,Unknown,"hängt am gleichen Ausleger wie die beiden Signale der Gegenrichtung; zeigt Zs 3 ""6"" für Einfahrt ins Gleis 4 (https://youtu.be/-2DdRt_UhFg?t=12)",POINT (13.3604147 52.5346003)
node,4089724095,DB Netz AG,signal,DE-ESO:ks,forward,right,994,Unknown,steht am Bahnsteigende in westlicher Richtung rechts,POINT (13.3882667 52.5491132)
node,4089877377,,signal,DE-ESO:ks,forward,right,20 47,Unknown,Unknown,POINT (13.3753841 52.4229933)
node,4089877378,,signal,DE-ESO:ks,backward,left,20 49,Unknown,Unknown,POINT (13.3754453 52.4230835)
node,4095970457,DB Netz AG,signal,,backward,left,,Unknown,Unknown,POINT (13.4609374 52.5047068)
node,4095970470,DB Netz AG,signal,DE-ESO:ks,backward,left,1422,Unknown,Unknown,POINT (13.4585953 52.5048938)
node,4095970513,DB Netz AG,signal,,backward,left,,Unknown,Unknown,POINT (13.4720992 52.5023091)
node,4095970520,DB Netz AG,signal,DE-ESO:ks,backward,left,17 F,Unknown,Unknown,POINT (13.4709272 52.5024395)
node,4095970522,DB Netz AG,signal,DE-ESO:ks,backward,left,17 N 431,"Ks-Mehrabschnittssignal, mit zwei Zusatzanzeigern, in südöstlicher Richtung","Zeigt Ks1 mit Kennlicht, Zs3v ""10"" Richtung Flughafen; Zeigt Ks 1 mit Kennlicht, Zs 3 ""8"", Zs 3v ""6"" Richtung Erkner; Zeigt Ks 1 mit dunklen Zs Anzeigern ohne verkürzten Bremsweg Richtung 06 C (Ks 2 + Zs 2 ""S"") und weiter nach 06 ZR 611",POINT (13.47089 52.5024899)
node,4095970534,DB Netz AG,signal,DE-ESO:ks,backward,right,1126,Unknown,Unknown,POINT (13.4678126 52.5034509)
node,4095970542,DB Netz AG,signal,DE-ESO:ks,forward,right,1425,Unknown,Unknown,POINT (13.4658257 52.5036027)
node,4095970543,DB InfraGO AG,signal,DE-ESO:ks,forward,right,1606,Unknown,Unknown,POINT (13.4665761 52.5035927)
node,4095970550,DB Netz AG,signal,,backward,left,74 P7,"Ks-Hauptsignal nur mit Hp0 und Sh1, keine Ks-Begriffe",Unknown,POINT (13.4679916 52.503778)
node,4095970551,DB Netz AG,signal,DE-ESO:ks,backward,left,,Unknown,Unknown,POINT (13.4652775 52.5038194)
node,4095972423,DB Netz AG,signal,DE-ESO:ks,forward,right,1142,Unknown,Unknown,POINT (13.4774075 52.5022431)
node,4095972426,DB Netz AG,signal,,backward,left,,Hl-Vorsignal in Richtung Osten; gehört zum Einfahrsignal P des Bf Lichtenberg,"ist ein Hl-Vorsignal, auch wenn der Signalschirm und die Ne2-Tafel dem Signal ein Ks-Erscheinungsbild geben",POINT (13.4773646 52.5022806)
node,4097196469,DB Netz,signal,,forward,right,23 N335,Unknown,Unknown,POINT (13.1784129 52.4203881)
node,4097196483,DB Netz AG,signal,,forward,left,3061,Unknown,Unknown,POINT (13.1788293 52.4210576)
node,4097197806,,signal,,forward,right,2658,Unknown,Unknown,POINT (13.1808474 52.421928)
node,4097197812,,signal,,forward,right,,Unknown,Unknown,POINT (13.1821995 52.4222453)
node,4097197821,,signal,,both,left,,Unknown,Unknown,POINT (13.1838919 52.4231225)
node,4097197822,,signal,,backward,left,,Unknown,Unknown,POINT (13.1837511 52.4232225)
node,4103144549,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.5948769 52.4585707)
node,4103144551,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.5887962 52.4586211)
node,4111219801,,signal,,both,in_track,,Unknown,Unknown,POINT (13.5134356 52.4869362)
node,4114976313,DB Netz AG,signal,,backward,bridge,,Unknown,Unknown,POINT (13.5265754 52.4449439)
node,4126731327,DB Netz AG,signal,,backward,right,,Haltetafel in nordwestlicher Richtung,Unknown,POINT (13.4314931 52.5114455)
node,4126731328,DB Netz AG,signal,,backward,left,115 Y,"Sperrsignal (""Schotterzwerg"") in nordwestlicher Richtung",Unknown,POINT (13.4311799 52.5114389)
node,4126731329,DB Netz AG,signal,DE-ESO:ks,backward,left,18 P6,"Ks-Mehrabschnittssignal, mit Richtungsanzeiger (Zs2) und weiterem Zusatzanzeiger, in nordwestlicher Richtung","Zeigt Zs 2 ""T"" für Regelausfahrt aufs Ferngleis Richtung Hauptbahnhof",POINT (13.4313778 52.5114604)
node,4126731330,DB InfraGO AG,signal,DE-ESO:ks,forward,right,18 P7,Unknown,"Zeigt Zs 2 ""T"" für Regelausfahrt aufs Ferngleis Richtung Hauptbahnhof",POINT (13.4312938 52.5115686)
node,4126731331,DB InfraGO AG,signal,DE-ESO:ks,forward,bridge,19702,"Ks-Mehrabschnittssignal, auf Signalbrücke, als Blocksignal in südöstlicher Richtung",Unknown,POINT (13.41655 52.5164029)
node,4126731332,DB Netz AG,signal,DE-ESO:ks,forward,right,19 P752,Ks-Mehrabschnittssignal als Blocksignal in östlicher Richtung,Unknown,POINT (13.3884947 52.5200154)
node,4126731333,,signal,DE-ESO:ks,forward,right,19 ZU 761,Ks-Mehrabschnittssignal als Zwischensignal in östlicher Richtung,Unknown,POINT (13.3819148 52.5213403)
node,4126731334,,signal,DE-ESO:ks,forward,bridge,19716,"Ks-Mehrabschnittssignal, auf Signalbrücke, als Blocksignal in nordöstlicher Richtung",Unknown,POINT (13.3958732 52.5214246)
node,4126731335,,signal,DE-ESO:ks,forward,bridge,19712,"Ks-Mehrabschnittssignal, auf Signalbrücke, als Blocksignal in östlicher Richtung",Unknown,POINT (13.4044807 52.523113)
node,4126731447,DB Netz AG,signal,,forward,right,,"Sperrsignal (""Schotterzwerg"") in südöstlicher Richtung",Unknown,POINT (13.4381471 52.5090452)
node,4126731453,DB Netz AG,signal,,forward,left,,Unknown,Unknown,POINT (13.4362998 52.5095368)
node,4126731456,DB Netz AG,signal,,forward,right,,210-Meter-Haltetafel in südöstlicher Richtung,Unknown,POINT (13.4362452 52.5096133)
node,4126731789,DB Netz AG,signal,DE-ESO:ks,forward,right,18 ZR3,"Ks-Mehrabschnittssignal, mit variablem Geschwindigkeitsanzeiger (Zs3) und variablem Geschwindigkeitsvoranzeiger (Zs3v), in südöstlicher Richtung",Unknown,POINT (13.4364599 52.5096632)
node,4126731791,DB Netz AG,signal,,forward,left,,Haltetafel in südöstlicher Richtung,"steht, mit Zuordnungspfeil rechts, in südöstlicher Richtung links des Gleises",POINT (13.4363893 52.5096932)
node,4126731792,DB Netz AG,signal,DE-ESO:ks,backward,left,18 P4,Ks-Mehrabschnittssignal in nordwestlicher Richtung,trägt zwei Zusatzanzeiger,POINT (13.4328801 52.5111352)
node,4126731793,DB Netz AG,signal,,backward,right,,Ks-Vorsignalwiederholer in nordwestlicher Richtung,Unknown,POINT (13.4335234 52.5111894)
node,4126731795,DB Netz AG,signal,,backward,left,,310-Meter-Haltetafel in nordwestlicher Richtung,Tafel vom Bahnsteigdach abgehangen,POINT (13.4327205 52.5112764)
node,4126731796,,signal,,backward,left,205 Y,"Sperrsignal (""Schotterzwerg"") in nordwestlicher Richtung",Unknown,POINT (13.4326316 52.511245)
node,4127017199,,signal,DE-ESO:ks,forward,right,1829,Unknown,Unknown,POINT (13.6047816 52.3875443)
node,4131359222,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.5523517 52.4274915)
node,4162714728,DB InfraGO AG,signal,DE-ESO:ks,backward,right,44 AA,Unknown,Unknown,POINT (13.4739978 52.5165812)
node,4191230993,DB Netz AG,signal,DE-ESO:ks,forward,right,51 ZR19,Unknown,steht unmittelbar vor der Weiche,POINT (13.3592847 52.5355622)
node,4191230996,DB Netz AG,signal,DE-ESO:ks,forward,right,41 P136,Ks-Mehrabschnittssignal in westlicher Richtung,"zeigt Zs2 ""B"", Zs2v ""S"" und Zs3 ""8"" für eine Ausfahrt Richtung Berlin Hauptbahnhof ins Regelgleis",POINT (13.3884924 52.5486777)
node,4191230998,DB Netz AG,signal,DE-ESO:ks,forward,left,4003,Ks-Mehrabschnittssignal in östlicher Richtung,"Zeigt Zs3 ""6"" für abzweigende Fahrten, Zs3 ist dunkel für gerade ausfahrten; zeigt Zs3v ""5"" und dann ""6"" bei Ks1 und geraden Ausfahrten",POINT (13.3906962 52.5490424)
node,4208727473,DB Netz AG,signal,,backward,bridge,,Ks-Vorsignalwiederholer in Richtung Osten,Unknown,POINT (13.3861286 52.5205228)
node,4212982088,,signal,,forward,in_track,,Unknown,Unknown,POINT (13.1918424 52.5673436)
node,4213705916,,signal,,backward,right,,Unknown,Unknown,POINT (13.3814226 52.5166806)
node,4213903959,,signal,,backward,overhead,,Unknown,Unknown,POINT (13.4016319 52.5222437)
node,4213966768,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.3866632 52.5488809)
node,4213966769,DB InfraGO AG,signal,,forward,right,,"Geschwindigkeitssignal (Lf 7 ""8"") in südwestlicher Richtung",Unknown,POINT (13.38671 52.548974)
node,4214223379,,signal,DE-ESO:ks,forward,right,1187,Unknown,Unknown,POINT (13.5133957 52.5138614)
node,4227229194,,signal,,backward,left,,Unknown,Unknown,POINT (13.392253 52.5491822)
node,4227229227,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.396288 52.5495134)
node,4227229230,DB Netz AG,signal,,backward,left,,Unknown,Unknown,POINT (13.3968226 52.5496948)
node,4257531474,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.1722185 52.4172432)
node,4257531475,,signal,,backward,left,,Unknown,Unknown,POINT (13.1893714 52.4256902)
node,4257531477,,signal,,forward,right,,Unknown,Unknown,POINT (13.1893257 52.4257252)
node,4264595121,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.3341045 52.5781899)
node,4264669736,,signal,DE-ESO:ks,forward,right,4035,Unknown,Mastschild rot-weiß-gelb,POINT (13.3975318 52.5575528)
node,4264669737,,signal,DE-ESO:ks,forward,right,4047,Unknown,Unknown,POINT (13.3931436 52.5647474)
node,4264669740,,signal,DE-ESO:ks,forward,right,4053,Unknown,Unknown,POINT (13.3887901 52.5672408)
node,4264669741,,signal,DE-ESO:ks,forward,right,4056,Unknown,Mastschild rot-weiß-gelb,POINT (13.3849519 52.5691988)
node,4264669742,,signal,DE-ESO:ks,forward,right,4057,Unknown,Unknown,POINT (13.3852141 52.5692211)
node,4264669743,,signal,DE-ESO:ks,forward,left,4064,Unknown,Mastschild rot-weiß-gelb,POINT (13.380509 52.5716749)
node,4264679408,,signal,,backward,left,,Unknown,Unknown,POINT (13.3892067 52.5491222)
node,4264679409,DB Netz AG,signal,,backward,left,W 711 II,"Sperrsignal (""Schotterzwerg"") in westlicher richtung",Unknown,POINT (13.3921361 52.5491371)
node,4264679410,,signal,,forward,left,,Unknown,Unknown,POINT (13.3902919 52.5491717)
node,4264679413,,signal,,forward,left,,Unknown,Unknown,POINT (13.3892015 52.5491632)
node,4264679414,,signal,,backward,left,,Unknown,Unknown,POINT (13.3902896 52.5492091)
node,4264679415,DB InfraGO AG,signal,DE-ESO:ks,forward,right,504,Unknown,Unknown,POINT (13.3923992 52.5492941)
node,4264679416,DB Netz AG,signal,DE-ESO:ks,forward,right,505,Unknown,Unknown,POINT (13.393853 52.5493101)
node,4264679417,DB Netz AG,signal,,backward,right,,Unknown,Unknown,POINT (13.3938926 52.5493564)
node,4264679418,DB Netz AG,signal,DE-ESO:ks,backward,left,4008,Unknown,Unknown,POINT (13.3921004 52.5493506)
node,4264679419,DB Netz AG,signal,DE-ESO:ks,forward,right,4004,Unknown,Unknown,POINT (13.3925491 52.5494473)
node,4264708620,DB Netz AG,signal,DE-ESO:ks,forward,bridge,6058,Unknown,Unknown,POINT (13.474102 52.5085836)
node,4264708621,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4739715 52.5160412)
node,4264708622,,signal,,forward,right,,Unknown,Unknown,POINT (13.4712325 52.5199442)
node,4264708624,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.468111 52.5229525)
node,4264708625,,signal,,forward,right,,Unknown,Unknown,POINT (13.4656517 52.5236183)
node,4264708627,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.4574599 52.5268994)
node,4264708628,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.4539118 52.5304315)
node,4264708629,,signal,DE-ESO:ks,backward,bridge,6023,Unknown,Unknown,POINT (13.4505519 52.5336502)
node,4264708633,DB InfraGO AG,signal,DE-ESO:ks,forward,bridge,6006,Unknown,Unknown,POINT (13.4349531 52.5418541)
node,4264708634,DB InfraGO AG,signal,DE-ESO:ks,backward,bridge,6007,Unknown,Unknown,POINT (13.4349164 52.5418677)
node,4264708636,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4290523 52.5436687)
node,4264708637,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4246106 52.5454517)
node,4264708638,DB InfraGO AG,signal,DE-ESO:ks,forward,right,538,Unknown,Unknown,POINT (13.4245969 52.5454582)
node,4264708640,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.3880248 52.5489932)
node,4264708641,DB InfraGO AG,signal,DE-ESO:ks,backward,left,992,Unknown,"Zs 2 und Zs 6 sind im selben Zusatzanzeiger untergebracht, können also nicht gleichzeitig angschaltet sein",POINT (13.3882627 52.5490244)
node,4264708642,,signal,,backward,,,Unknown,Unknown,POINT (13.3886215 52.5490662)
node,4264708643,DB Netz AG,signal,,forward,left,,Unknown,Unknown,POINT (13.3885913 52.549136)
node,4264708645,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4117457 52.5496059)
node,4264708647,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.4117254 52.549607)
node,4264807190,DB InfraGO AG,signal,DE-ESO:ks,backward,left,4031,Unknown,Unknown,POINT (13.3974669 52.5553668)
node,4264807191,DB InfraGO AG,signal,DE-ESO:ks,forward,right,4415,Unknown,Unknown,POINT (13.3977326 52.555398)
node,4264807192,,signal,DE-ESO:ks,forward,right,4039,Unknown,Mastschild rot-weiß-gelb,POINT (13.3967957 52.5604632)
node,4264807193,,signal,DE-ESO:ks,backward,left,4051,Unknown,Unknown,POINT (13.3910617 52.565843)
node,4264807194,,signal,DE-ESO:ks,forward,right,4049,Unknown,Unknown,POINT (13.3912287 52.5658698)
node,4264807195,,signal,DE-ESO:ks,backward,left,4062,Unknown,Mastschild rot-weiß-gelb,POINT (13.3826212 52.5706617)
node,4264807197,DB InfraGO AG,signal,,backward,left,,Unknown,Unknown,POINT (13.3802823 52.5721309)
node,4264807198,,signal,DE-ESO:ks,backward,right,4082,Unknown,Mastschild rot-weiß-gelb,POINT (13.3724643 52.5763066)
node,4264807203,,signal,DE-ESO:ks,backward,right,4106,Unknown,Mastschild rot-weiß-gelb,POINT (13.3631324 52.5812964)
node,4264807205,,signal,,backward,right,,Unknown,Unknown,POINT (13.3578567 52.5841292)
node,4264807211,,signal,,forward,right,4111,Unknown,Mastschild schwarz-weiß,POINT (13.3502531 52.588352)
node,4264807212,,signal,DE-ESO:ks,forward,right,4113,Unknown,Mastschild schwarz-weiß,POINT (13.3393548 52.5943372)
node,4264807213,,signal,DE-ESO:ks,forward,right,4115,Unknown,Mastschild schwarz-weiß,POINT (13.3339381 52.5973084)
node,4264831463,DB Netz AG,signal,,backward,right,,Unknown,Unknown,POINT (13.3907725 52.5491931)
node,4264831464,DB Netz AG,signal,DE-ESO:ks,forward,right,502,Unknown,Unknown,POINT (13.390738 52.5492276)
node,4264831465,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.3907614 52.5492287)
node,4264864760,DB Netz AG,signal,DE-ESO:ks,forward,right,6050,Unknown,Unknown,POINT (13.4739541 52.5160656)
node,4264864761,DB InfraGO AG,signal,DE-ESO:ks,forward,right,6046,Unknown,Mastschild schwarz-weiß,POINT (13.4722483 52.5184818)
node,4264864762,DB InfraGO AG,signal,DE-ESO:ks,forward,left,6040,Unknown,Unknown,POINT (13.4639902 52.5240725)
node,4264864763,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4588847 52.5257893)
node,4264864764,DB InfraGO AG,signal,DE-ESO:ks,backward,left,6026,Unknown,Unknown,POINT (13.4539231 52.5302134)
node,4264864765,DB InfraGO AG,signal,DE-ESO:ks,forward,right,6028,Unknown,Unknown,POINT (13.4539257 52.5304194)
node,4264864766,DB InfraGO AG,signal,DE-ESO:ks,forward,right,6020,Unknown,Unknown,POINT (13.4487351 52.5354685)
node,4264864767,DB InfraGO AG,signal,DE-ESO:ks,forward,right,6014,Unknown,Unknown,POINT (13.4416604 52.5391513)
node,4264864768,DB InfraGO AG,signal,DE-ESO:ks,forward,right,6004,Unknown,Unknown,POINT (13.4319444 52.5428467)
node,4264864769,DB InfraGO AG,signal,DE-ESO:ks,forward,right,6002,Unknown,Unknown,POINT (13.4290417 52.5436725)
node,4264864771,,signal,DE-ESO:ks,forward,right,536,Unknown,Unknown,POINT (13.42212 52.5467997)
node,4264864772,DB InfraGO AG,signal,DE-ESO:ks,forward,right,530,Unknown,Unknown,POINT (13.4181943 52.5484123)
node,4264864774,DB InfraGO AG,signal,DE-ESO:ks,forward,right,516,Unknown,"Zeigt Ks 1 + Zs 3 ""7"" + Zs 3v ""6"" für Fahrstraße Richtung Bornholmer Straße Gleis 3/4",POINT (13.4077485 52.5497486)
node,4265936455,DB Netz AG,signal,DE-ESO:ks,backward,right,4412,Unknown,Unknown,POINT (13.3980785 52.5539814)
node,4265936456,DB Netz AG,signal,DE-ESO:ks,backward,left,4026,Unknown,Unknown,POINT (13.3982576 52.5539935)
node,4265936457,,signal,,forward,left,,Unknown,Unknown,POINT (13.3979744 52.5540424)
node,4265936458,,signal,,backward,left,,Unknown,Unknown,POINT (13.3980561 52.5540502)
node,4265936459,,signal,,backward,right,,Unknown,Unknown,POINT (13.3982432 52.5540611)
node,4265936460,,signal,,backward,right,,Unknown,Unknown,POINT (13.3982081 52.5542178)
node,4265936461,,signal,,backward,right,,Unknown,Unknown,POINT (13.3981694 52.5543795)
node,4302305052,,signal,,backward,right,,Unknown,Unknown,POINT (13.3714438 52.4872764)
node,4309616520,DB InfraGO AG,signal,,forward,right,,Unknown,Unknown,POINT (13.389755 52.4696736)
node,4314796543,DB InfraGO AG,signal,DE-ESO:hl,forward,right,C,Unknown,Unknown,POINT (13.4539209 52.4707906)
node,4314796544,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.4534287 52.4709463)
node,4355225315,,signal,DE-ESO:ks,forward,right,349,Unknown,Unknown,POINT (13.3367651 52.5150962)
node,4355451720,DB InfraGO AG,signal,DE-ESO:ks,forward,right,1178,Unknown,Unknown,POINT (13.4969292 52.5098154)
node,4355451725,DB Netz AG,signal,DE-ESO:ks,forward,right,1181,Unknown,Unknown,POINT (13.498901 52.5107327)
node,4355467802,DB Netz AG,signal,DE-ESO:ks,forward,left,3403,"Ks-Mehrabschnittssignal, mit Richtungsanzeiger (Zs2), in südwestlicher Richtung","Zeigt Zs 2 ""O"" Richtung Olympiastadion; Zeigt Zs 2 ""G"" mit Zs 3 ""6"" Richtung Grunewald",POINT (13.2829581 52.5007)
node,4355497825,DB InfraGO AG,signal,DE-ESO:ks,forward,right,943,Unknown,Unknown,POINT (13.3277064 52.5341225)
node,4355497826,DB InfraGO AG,signal,DE-ESO:ks,forward,right,942,Unknown,Unknown,POINT (13.3279406 52.5342382)
node,4357590614,,signal,DE-ESO:ks,backward,left,3401,"Ks-Mehrabschnittssignal, mit variablem Geschwindigkeitsvoranzeiger (Zs3v) und Geschwindigkeitsanzeiger (Zs3), in südwestlicher Richtung",Unknown,POINT (13.2832415 52.5003244)
node,4357590897,DB Netz AG,signal,DE-ESO:ks,forward,left,3008,"Ks-Mehrabschnittssignal, mit variablem Geschwindigkeitsanzeiger (Zs3), in nordöstlicher Richtung",Unknown,POINT (13.2854812 52.5010441)
node,4366528204,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.4587391 52.5255911)
node,4366601369,DB InfraGO AG,signal,,backward,bridge,,Unknown,Unknown,POINT (13.3835977 52.5483819)
node,4381117721,DB InfraGO AG,signal,,backward,right,,Unknown,Unknown,POINT (13.5584368 52.4667141)
node,4381270327,DB Netz AG,signal,,forward,right,,Unknown,Unknown,POINT (13.4453313 52.5071357)
node,4381270328,DB Netz AG,signal,DE-ESO:ks,backward,bridge,1408,Unknown,Unknown,POINT (13.4458779 52.5071494)
node,4381270353,DB Netz AG,signal,DE-ESO:ks,backward,left,1102,Unknown,Unknown,POINT (13.4394034 52.5088714)
node,4388019935,DB Netz AG,signal,DE-ESO:ks,backward,left,1440,Unknown,Unknown,POINT (13.4777984 52.5013635)
node,4396212941,,signal,,forward,right,,Unknown,Unknown,POINT (13.6121725 52.3758229)
node,4396212942,,signal,,forward,bridge,39 11,Unknown,Unknown,POINT (13.6117843 52.3764226)
node,4396235085,,signal,,forward,right,,Unknown,Unknown,POINT (13.6050373 52.3869092)
node,4396235088,DB Netz,signal,,backward,left,,Unknown,Unknown,POINT (13.6035793 52.389044)
node,4396236492,,signal,,forward,right,39 03,Unknown,Unknown,POINT (13.6025135 52.3908192)
node,4396236496,,signal,,forward,right,,Unknown,Unknown,POINT (13.5944425 52.398666)
node,4396379980,,signal,DE-ESO:ks,forward,right,39 N125,Unknown,Unknown,POINT (13.5911749 52.4007931)
node,4396379981,,signal,DE-ESO:ks,forward,bridge,39 N121,Unknown,Unknown,POINT (13.5912537 52.4008499)
node,4396379983,,signal,,forward,right,,Unknown,Unknown,POINT (13.5889611 52.4023852)
node,4396379984,,signal,DE-ESO:ks,backward,left,,Unknown,Unknown,POINT (13.588336 52.4026449)
node,4396379987,,signal,,backward,left,,Unknown,Unknown,POINT (13.5864182 52.4039708)
node,4396380195,,signal,,forward,right,,Unknown,Unknown,POINT (13.5849687 52.4050381)
node,4396380196,,signal,DE-ESO:ks,backward,left,,Unknown,Unknown,POINT (13.5844459 52.4051172)
node,4396380197,,signal,DE-ESO:ks,forward,right,,Unknown,Unknown,POINT (13.5844833 52.4052827)
node,4396380199,,signal,,backward,left,,Unknown,Unknown,POINT (13.583909 52.4057712)
node,4396380200,,signal,DE-ESO:ks,forward,right,39 ZS103,Unknown,Unknown,POINT (13.5834653 52.405987)
node,4396380201,,signal,,backward,left,,Unknown,Unknown,POINT (13.5828232 52.4061547)
node,4396380202,,signal,,backward,left,,Unknown,Unknown,POINT (13.582889 52.4061849)
node,4396380203,,signal,,forward,right,,Unknown,Unknown,POINT (13.5829472 52.4062261)
node,4396380204,,signal,,backward,left,,Unknown,Unknown,POINT (13.5786565 52.4087799)
node,4396761702,,signal,,backward,left,,Unknown,Unknown,POINT (13.5787669 52.4087841)
node,4396761703,,signal,,forward,right,39 P106,Unknown,Unknown,POINT (13.5783448 52.4087997)
node,4396761704,,signal,,forward,right,39 P105,Unknown,Unknown,POINT (13.5780115 52.4090744)
node,4396761705,,signal,,backward,left,39P104,Unknown,Unknown,POINT (13.5775895 52.409423)
node,4396761706,,signal,,backward,left,,Unknown,Unknown,POINT (13.5772138 52.4095619)
node,4396761707,,signal,,backward,left,39 P103,Unknown,Unknown,POINT (13.577449 52.4096298)
node,4396761709,,signal,,backward,left,,Unknown,Unknown,POINT (13.5769563 52.4098304)
node,4396761711,,signal,,backward,left,,Unknown,Unknown,POINT (13.5762363 52.4103104)
node,4396761715,,signal,,forward,right,,Unknown,Unknown,POINT (13.575317 52.411214)
node,4396761717,,signal,DE-ESO:ks,forward,right,39 ZR113,Unknown,Unknown,POINT (13.5742988 52.4119433)
